time,date,time_of_day,airspeed_temperature,airspeed_angle_of_attack,airspeed_apparent_windspeed,kite_0_vx,kite_0_vy,kite_0_vz,kite_0_roll,kite_0_pitch,kite_0_yaw,kite_1_vx,kite_1_vy,kite_1_vz,kite_1_ax,kite_1_ay,kite_1_az,kite_1_roll,kite_1_pitch,kite_1_yaw,kite_1_roll_rate,kite_1_pitch_rate,kite_1_yaw_rate,ground_upwind_direction,ground_wind_velocity,ground_pos_latitude,ground_pos_longitude,ground_pos_altitude,ground_tether_reelout_speed,ground_tether_force,est_upwind_direction,kite_pos_east,kite_pos_north,kite_height,kite_elevation,kite_azimuth,kite_distance,kite_heading,kite_course,kite_actual_steering,kite_actual_depower,kite_set_steering,kite_set_depower,ground_mech_energy,ground_mech_power,flight_phase,flight_phase_index,phase,pattern,pattern_section
1570540473.2,2019-10-08,15:14:33.200,15.0,7.0,15.4300003051758,11.0,-3.2,2.2,15.9,-3.3,-66.4,10.1601,-2.53645,2.8521400000000003,8.09915,8.46069,1.35282,18.069000000000003,9.78579,-68.7756,0.0515783999999999,0.13879,0.928316,250.1,8.0,52.1701,4.42724,0.0,-2.52551,101.132,4.373,50.8213,4.56043,246.382,1.36658,0.249896,251.61,0.516157,1.41966,-34.4393310546875,22.0390739440918,-35.0,22.0,698793.0,-3845.56,pp-riro,4,0,-1,-1
1570540473.3,2019-10-08,15:14:33.300,15.0,7.0,15.140000343322802,11.9,-2.5,2.4,17.8,-4.2,-61.4,10.1601,-2.53645,2.8521400000000003,8.09915,8.46069,1.35282,18.069000000000003,9.78579,-68.7756,0.0515783999999999,0.13879,0.928316,250.1,8.0,52.1701,4.42724,0.0,-2.52606,99.5317,4.37296,50.5,6.08049,246.282,1.36713,0.219602,251.48,0.637863,1.52524,-34.872848510742195,22.01487159729,-35.0,22.0,698253.0,-6460.54,pp-riro,4,0,-1,-1
1570540473.4,2019-10-08,15:14:33.400,15.0,9.0,14.960000038147,12.9,-1.6,2.7,19.4,-5.6,-56.4,11.0332,-1.73958,2.97753,9.11127,7.700039999999999,3.34262,19.7219,9.16013,-63.4925,0.1789069999999999,0.230602,0.8368209999999999,249.2,8.1,52.1701,4.42724,0.0,-2.53326,100.736,4.3729,50.2663,7.22053,246.082,1.36729,0.196821,251.267,0.753182,1.63158,-34.971832275390604,22.0025119781494,-35.0,22.0,697761.0,-5199.2,pp-riro,4,0,-1,-1
1570540473.5,2019-10-08,15:14:33.500,15.0,10.0,14.7799997329712,13.9,-0.8,3.1,20.8,-7.1,-51.5,12.3863,-0.664115,3.37184,10.5133,7.4197,1.27988,22.6802,7.68911,-54.8974,0.324391,0.157797,1.05695,249.2,8.1,52.1701,4.42724,0.0,-2.53382,104.207,4.372809999999999,50.091,8.36057,245.882,1.36712,0.174192,251.072,0.867099,1.7210299999999998,-34.971832275390604,22.0009689331055,-35.0,22.0,697272.0,-3168.74,pp-riro,4,0,-1,-1
1570540473.6,2019-10-08,15:14:33.600,15.0,11.0,14.6599998474121,14.8,0.1,3.4,22.1,-8.8,-46.5,13.2896,0.172227,3.77372,8.72863,7.679930000000001,4.14609,24.2959,6.403630000000001,-49.136,0.221054,0.1303619999999999,0.964569,249.2,8.1,52.1701,4.42724,0.0,-2.52107,105.994,4.372730000000001,50.0034,9.88063,245.682,1.3662299999999998,0.144574,250.914,0.990698,1.81389,-34.971832275390604,22.0009689331055,-35.0,22.0,696973.0,-3414.86,pp-riro,4,0,-1,-1
1570540473.7,2019-10-08,15:14:33.700,15.0,9.0,14.6000003814697,15.6,1.2,3.7,23.5,-10.0,-41.5,14.1389,1.15099,4.1222,4.59441,9.61926,2.59239,25.5651,4.74545,-43.7046,0.022183,0.132245,0.934824,249.2,8.1,52.1701,4.42724,0.0,-2.49448,100.649,4.3726400000000005,50.0326,11.4007,245.382,1.36464,0.1156619999999999,250.69,1.112,1.91133,-34.9940185546875,22.0009689331055,-35.0,22.0,696487.0,-5045.38,pp-riro,4,0,-1,-1
1570540473.8,2019-10-08,15:14:33.800,15.0,9.0,14.4799995422363,16.3,2.3,4.0,24.6,-11.6,-36.1,14.8812,2.17476,4.38635,6.87602,12.186,4.97043,27.0516,3.0117,-38.1823,0.257925,0.121361,0.94553,249.2,8.1,52.1701,4.42724,0.0,-2.4967,97.7647,4.37256,50.1786,13.3008,245.082,1.36207,0.0807189,250.52,1.24765,2.00806,-34.9940185546875,22.0009689331055,-35.0,22.0,696171.0,-5660.67,pp-riro,4,0,-1,-1
1570540473.9,2019-10-08,15:14:33.900,15.0,10.0,14.4200000762939,16.8,3.4,4.4,25.4,-13.4,-31.0,15.4149,3.22017,4.71836,3.32367,11.5153,5.35941,27.9569,1.19738,-32.8191,0.301642,0.121523,0.991705,249.2,8.1,52.1701,4.42724,0.0,-2.51609,92.6441,4.37248,50.4122,14.8208,244.782,1.35934,0.0539771999999999,250.358,1.37021,2.09409,-34.9940185546875,22.0009689331055,-35.0,22.0,695527.0,-7814.18,pp-riro,4,0,-1,-1
1570540474.0,2019-10-08,15:14:34.000,15.0,9.0,14.3500003814697,17.1,4.7,4.8,26.0,-15.5,-25.9,16.051,4.89628,5.24505,2.5272900000000003,13.0219,5.41709,29.0602,-1.81689,-24.4093,0.145196,0.183277,1.0753,249.2,8.1,52.1701,4.42724,0.0,-2.57648,89.73700000000001,4.37239,50.7627,16.7209,244.382,1.35549,0.0217975,250.158,1.49917,2.19382,-34.9957275390625,22.0009689331055,-35.0,22.0,693786.0,-12767.3,pp-riro,4,0,-1,-1
1570540474.1,2019-10-08,15:14:34.100,15.0,11.0,14.3500003814697,17.4,5.9,5.1,26.3,-17.3,-20.6,16.051,4.89628,5.24505,2.5272900000000003,13.0219,5.41709,29.0602,-1.81689,-24.4093,0.145196,0.183277,1.0753,249.2,8.1,52.1701,4.42724,0.0,-2.6318900000000003,90.3399,4.37231,51.2592,18.241,243.982,1.35139,-0.00180048,249.975,1.62132,2.27434,-34.9957275390625,22.0009689331055,-35.0,22.0,692555.0,-12828.8,pp-riro,4,0,-1,-1
