time,date,time_of_day,airspeed_temperature,airspeed_angle_of_attack,airspeed_apparent_windspeed,kite_0_vx,kite_0_vy,kite_0_vz,kite_0_roll,kite_0_pitch,kite_0_yaw,kite_1_vx,kite_1_vy,kite_1_vz,kite_1_ax,kite_1_ay,kite_1_az,kite_1_roll,kite_1_pitch,kite_1_yaw,kite_1_roll_rate,kite_1_pitch_rate,kite_1_yaw_rate,ground_upwind_direction,ground_wind_velocity,ground_pos_latitude,ground_pos_longitude,ground_pos_altitude,ground_tether_reelout_speed,ground_tether_force,est_upwind_direction,kite_pos_east,kite_pos_north,kite_height,kite_elevation,kite_azimuth,kite_distance,kite_heading,kite_course,kite_actual_steering,kite_actual_depower,kite_set_steering,kite_set_depower,ground_mech_energy,ground_mech_power,flight_phase,flight_phase_index,phase,pattern,pattern_section
1570540593.7,2019-10-08,15:16:33.700,15.0,8.0,14.6599998474121,9.6,-3.4,1.8,16.0,-1.9,-71.7,8.92665,-2.42571,2.36916,11.4802,6.72398,2.38762,18.9603,10.9956,-72.1493,0.136876,0.115454,0.8755069999999999,265.9,6.8,52.1701,4.427230000000001,4.9,-1.86449,98.5222,4.40135,47.4039,7.980519999999999,240.412,1.37345,0.144252,245.171,0.497477,1.43487,-34.521240234375,22.0411338806152,-35.0,22.0,806649.0,-3814.8,pp-riro,4,0,-1,-1
1570540593.8,2019-10-08,15:16:33.800,15.0,8.0,14.4099998474121,10.6,-2.7,2.0,17.4,-3.2,-67.0,8.92665,-2.42571,2.36916,11.4802,6.72398,2.38762,18.9603,10.9956,-72.1493,0.136876,0.115454,0.8755069999999999,265.9,6.8,52.1701,4.427230000000001,4.9,-1.87224,96.326,4.40146,47.0826,9.12056,240.312,1.37382,0.119589,245.051,0.608186,1.5496299999999998,-34.8421325683594,22.016416549682603,-35.0,22.0,806386.0,-4953.08,pp-riro,4,0,-1,-1
1570540593.9,2019-10-08,15:16:33.900,15.0,9.0,14.1599998474121,11.7,-2.1,2.3,19.1,-4.7,-62.1,10.3749,-1.3895,2.75953,9.71525,7.48652,3.53086,21.4047,9.50436,-64.095,0.1055589999999999,0.117228,0.851534,265.9,6.8,52.1701,4.427230000000001,4.9,-1.91103,97.3236,4.40156,46.8197,9.88059,240.112,1.37409,0.102844,244.834,0.715182,1.63834,-34.970123291015604,22.003026962280305,-35.0,22.0,805572.0,-5476.08,pp-riro,4,0,-1,-1
1570540594.0,2019-10-08,15:16:34.000,15.0,8.0,14.039999961853,12.6,-1.2,2.7,20.5,-6.2,-57.3,11.7789,-0.235098,3.3304,9.80709,8.866389999999999,4.53068,23.954,7.53448,-55.9331,0.0583175999999999,0.116078,0.898812,265.9,6.8,52.1701,4.42724,5.1,-1.92876,97.3848,4.401669999999999,46.6153,11.0206,239.912,1.37373,0.0785668,244.647,0.8284600000000001,1.74653,-34.970123291015604,22.0009689331055,-35.0,22.0,805090.0,-4891.55,pp-riro,4,0,-1,-1
1570540594.1,2019-10-08,15:16:34.100,15.0,8.0,13.9700002670288,13.5,-0.2,3.0,21.7,-7.6,-52.6,11.7789,-0.235098,3.3304,9.80709,8.866389999999999,4.53068,23.954,7.53448,-55.9331,0.0583175999999999,0.116078,0.898812,265.9,6.8,52.1701,4.42724,5.1,-1.94372,94.9808,4.40177,46.4984,12.1607,239.712,1.37292,0.0548686,244.483,0.939417,1.84931,-34.971832275390604,22.0009689331055,-35.0,22.0,804808.0,-5383.79,pp-riro,4,0,-1,-1
1570540594.2,2019-10-08,15:16:34.200,15.0,8.0,13.7799997329712,14.3,0.7,3.3,23.1,-9.4,-47.7,12.5864,0.624159,3.65766,6.04788,8.22552,2.97482,25.2603,6.04561,-50.518,0.0768401,0.208556,0.9344,265.9,6.8,52.1701,4.42724,5.1,-1.97364,89.3555,4.40188,46.4984,13.6807,239.412,1.37105,0.0243638,244.269,1.06214,1.94238,-34.976959228515604,22.0009689331055,-35.0,22.0,804105.0,-7906.47,pp-riro,4,0,-1,-1
1570540594.3,2019-10-08,15:16:34.300,15.0,9.0,13.710000038147,15.0,1.7,3.7,24.3,-10.9,-42.7,12.9026,1.16217,3.87811,8.78715,10.6667,3.17772,26.012,5.15262,-47.8883,0.0620955,0.0792406,0.847115,265.9,6.8,52.1701,4.42724,5.1,-2.03404,87.684,4.4019900000000005,46.586000000000006,15.2008,239.212,1.36874,-0.00500035,244.18,1.18461,2.03548,-34.9974365234375,22.0009689331055,-35.0,22.0,803051.0,-10952.2,pp-riro,4,0,-1,-1
1570540594.4,2019-10-08,15:16:34.400,15.0,9.0,13.6499996185303,15.7,2.7,4.1,25.2,-12.4,-37.8,14.3314,3.06802,4.56786,3.77272,9.85635,4.14816,28.1926,1.66715,-37.7418,0.197288,0.0744566,0.900064,258.5,6.3,52.1701,4.42724,5.1,-2.12546,90.3679,4.4021,46.7904,17.1009,238.912,1.36522,-0.0400472,244.051,1.31105,2.12722,-34.9974365234375,22.0009689331055,-35.0,22.0,801566.0,-10521.5,pp-riro,4,0,-1,-1
1570540594.5,2019-10-08,15:16:34.500,15.0,9.0,13.6499996185303,16.2,3.7,4.5,26.0,-14.4,-33.1,14.9348,3.98152,4.95725,4.70675,9.48507,4.39512,29.1463,-0.281952,-32.468,0.107177,0.152561,0.955934,258.5,6.3,52.1701,4.42724,5.1,-2.18308,91.5204,4.40218,47.0533,18.2409,238.612,1.36237,-0.0596175999999999,243.891,1.41989,2.20066,-34.9991455078125,22.0009689331055,-35.0,22.0,800589.0,-9752.34,pp-riro,4,0,-1,-1
1570540594.6,2019-10-08,15:16:34.600,15.0,9.0,13.6499996185303,16.7,4.8,4.8,26.4,-16.1,-28.2,15.4099,4.96218,5.33069,4.57722,10.0259,3.3793800000000003,29.6631,-2.31613,-27.215,0.0629221,0.164414,0.907375,258.5,6.3,52.1701,4.42724,5.1,-2.20414,90.6832,4.40226,47.433,20.141,238.212,1.35775,-0.0914178,243.723,1.54325,2.28559,-34.9974365234375,22.0009689331055,-35.0,22.0,800149.0,-8675.59,pp-riro,4,0,-1,-1
1570540594.7,2019-10-08,15:16:34.700,15.0,10.0,13.7799997329712,17.0,5.9,5.2,26.9,-18.1,-23.3,15.7753,5.9966,5.63976,2.94865,7.82028,4.65496,29.9691,-4.31504,-21.7767,0.0733229,0.230509,0.968146,258.5,6.3,52.1701,4.42724,5.1,-2.2589900000000003,88.381,4.402340000000001,47.9295,21.661,237.812,1.35313,-0.114371,243.55900000000003,1.65855,2.36178,-34.9991455078125,22.0009689331055,-35.0,22.0,799097.0,-11167.5,pp-riro,4,0,-1,-1
1570540594.8,2019-10-08,15:16:34.800,15.0,9.0,13.9700002670288,17.3,7.1,5.5,27.0,-19.5,-17.8,16.0554,7.059660000000001,5.97743,3.10903,10.6823,1.04116,30.0387,-6.23732,-16.3503,0.0499521,0.129655,0.961202,258.5,6.3,52.1701,4.42724,5.1,-2.32105,87.8091,4.402419999999999,48.572,23.1811,237.312,1.34778,-0.135311,243.33900000000003,1.77886,2.43582,-34.9991455078125,22.0009689331055,-35.0,22.0,797934.0,-10921.4,pp-riro,4,0,-1,-1
1570540594.9,2019-10-08,15:16:34.900,15.0,9.0,14.1599998474121,17.5,8.3,5.9,27.2,-21.1,-12.4,16.0554,7.059660000000001,5.97743,3.10903,10.6823,1.04116,30.0387,-6.23732,-16.3503,0.0499521,0.129655,0.961202,258.5,6.3,52.1701,4.42724,5.1,-2.38754,91.3688,4.40249,49.3022,25.0812,236.912,1.34142,-0.160708,243.284,1.9018,2.51281,-34.9974365234375,22.0009689331055,-35.0,22.0,796807.0,-12121.2,pp-riro,4,0,-1,-1
1570540595.0,2019-10-08,15:16:35.000,15.0,9.0,14.2799997329712,17.6,9.5,6.3,26.9,-22.6,-6.9,16.1901,8.12292,6.33204,2.17048,8.80291,2.36485,29.9582,-7.9373,-10.9239,0.142493,0.222076,0.957198,258.5,6.3,52.1701,4.427230000000001,5.4,-2.43076,97.6264,4.40257,50.1492,26.6012,236.412,1.33514,-0.177888,243.132,2.01688,2.58036,-34.9991455078125,22.0009689331055,-35.0,22.0,795907.0,-7783.42,pp-riro,4,0,-1,-1
1570540595.1,2019-10-08,15:16:35.100,15.0,10.0,14.2799997329712,17.6,10.8,6.8,26.6,-24.4,-1.0,16.4368,9.8219,6.9382,-0.211888,10.399,5.0395,29.2054,-10.3714,-2.15441,-0.0152437999999999,0.242718,1.01654,258.5,6.3,52.1701,4.427230000000001,5.4,-2.44406,101.653,4.40265,51.113,28.8813,235.812,1.32679,-0.204586,243.01,2.14777,2.66034,-34.9991455078125,22.0009689331055,-35.0,22.0,795016.0,-6399.01,pp-riro,4,0,-1,-1
1570540595.2,2019-10-08,15:16:35.200,15.0,10.0,14.4099998474121,17.4,12.1,7.1,26.0,-25.7,4.6,16.3874,10.9399,7.34923,-0.227559,12.8799,5.46819,28.5245,-11.8831,3.70377,0.1272039999999999,0.248804,0.941798,258.5,6.3,52.1701,4.427230000000001,5.4,-2.44683,103.136,4.40273,52.1937,30.4014,235.112,1.31933,-0.2177739999999999,242.747,2.25733,2.72791,-34.9991455078125,22.0009689331055,-35.0,22.0,794741.0,-5537.61,pp-riro,4,0,-1,-1
1570540595.3,2019-10-08,15:16:35.300,15.0,10.0,14.5900001525879,17.4,13.3,7.4,25.5,-26.8,10.5,16.167,12.6714,7.8527,-1.90829,11.7187,5.20174,27.1494,-13.9585,12.6315,0.193759,0.256244,0.962097,258.5,6.3,52.1701,4.427230000000001,5.4,-2.41358,114.118,4.40281,53.3911,32.3015,234.412,1.31062,-0.234506,242.576,2.37299,2.78683,-34.9991455078125,22.0009689331055,-23.0044822692871,22.0,794434.0,861.4060000000001,pp-riro,4,0,-1,-1
1570540595.4,2019-10-08,15:16:35.400,15.0,9.0,15.0100002288818,17.2,14.6,8.0,24.6,-27.9,16.8,16.167,12.6714,7.8527,-1.90829,11.7187,5.20174,27.1494,-13.9585,12.6315,0.193759,0.256244,0.962097,250.5,6.0,52.1701,4.427230000000001,5.4,-2.35153,121.956,4.40289,54.7347,33.8215,233.712,1.30215,-0.24399,242.407,2.48678,2.84561,-34.9974365234375,22.0009689331055,-23.0044822692871,22.0,794767.0,3968.62,pp-riro,4,0,-1,-1
