time,date,time_of_day,airspeed_temperature,airspeed_angle_of_attack,airspeed_apparent_windspeed,kite_0_vx,kite_0_vy,kite_0_vz,kite_0_roll,kite_0_pitch,kite_0_yaw,kite_1_vx,kite_1_vy,kite_1_vz,kite_1_ax,kite_1_ay,kite_1_az,kite_1_roll,kite_1_pitch,kite_1_yaw,kite_1_roll_rate,kite_1_pitch_rate,kite_1_yaw_rate,ground_upwind_direction,ground_wind_velocity,ground_pos_latitude,ground_pos_longitude,ground_pos_altitude,ground_tether_reelout_speed,ground_tether_force,est_upwind_direction,kite_pos_east,kite_pos_north,kite_height,kite_elevation,kite_azimuth,kite_distance,kite_heading,kite_course,kite_actual_steering,kite_actual_depower,kite_set_steering,kite_set_depower,ground_mech_energy,ground_mech_power,flight_phase,flight_phase_index,phase,pattern,pattern_section
1570540841.5,2019-10-08,15:20:41.500,14.0,8.0,14.710000038147,12.3,-2.7,2.6,22.4,-2.2,-65.8,11.8434,-1.86276,3.12289,8.289439999999999,4.11559,4.87779,25.5145,11.1398,-64.03399999999999,0.158215,0.1778279999999999,1.00064,250.5,5.5,52.1701,4.42718,-2.0,-1.98639,101.887,4.44278,69.8936,16.7211,239.311,1.27906,0.0347878,249.86900000000003,0.6853640000000001,1.64798,-34.971832275390604,22.0014839172363,-35.0,22.0,1046890.0,-5014.61,pp-riro,4,0,-1,-1
1570540841.6,2019-10-08,15:20:41.600,14.0,8.0,14.5299997329712,13.1,-1.9,3.0,23.7,-4.3,-60.9,12.617,-1.01527,3.6212,7.295839999999999,7.26103,3.01521,27.2987,9.27006,-58.4032,0.147834,0.0944597,0.954819,250.5,5.5,52.1701,4.42718,-2.0,-1.99137,96.8843,4.4427900000000005,69.6307,17.8612,239.111,1.27876,0.0184979,249.683,0.796434,1.73778,-34.973541259765604,21.9983940124512,-35.0,22.0,1046480.0,-3876.33,pp-riro,4,0,-1,-1
1570540841.7,2019-10-08,15:20:41.700,14.0,8.0,14.4700002670288,13.9,-1.0,3.3,25.2,-6.1,-55.7,12.96,-0.5400560000000001,3.76188,6.034269999999999,10.3841,3.11512,28.0966,8.32573,-55.5942,0.226246,0.162173,0.937745,250.5,5.5,52.1701,4.42718,-2.0,-2.02295,85.2331,4.44281,69.4262,19.0012,238.911,1.27816,0.00243589,249.519,0.911972,1.8243,-34.982086181640604,21.9983940124512,-35.0,22.0,1045670.0,-8890.94,pp-riro,4,0,-1,-1
1570540841.8,2019-10-08,15:20:41.800,14.0,9.0,14.5900001525879,14.6,-0.1,3.5,26.9,-7.8,-50.4,13.3018,-0.0536894,3.89721,7.330019999999999,8.73287,1.81774,28.908,7.26002,-52.8012,0.0970039999999999,0.155436,0.99876,250.5,5.5,52.1701,4.42718,-2.0,-2.10053,83.9268,4.442819999999999,69.3678,20.9013,238.611,1.2760200000000002,-0.0230904,249.367,1.03872,1.91083,-34.9906158447266,21.9983940124512,-35.0,22.0,1044410.0,-13813.3,pp-riro,4,0,-1,-1
1570540841.9,2019-10-08,15:20:41.900,14.0,8.0,14.5900001525879,15.3,0.6,4.0,28.0,-9.2,-45.2,14.2701,1.22545,4.36892,4.989269999999999,6.24325,4.50721,30.9405,4.28305,-44.3004,0.17249,0.243478,1.02774,250.5,5.5,52.1701,4.42718,-2.0,-2.17145,94.3764,4.442830000000001,69.3386,22.0413,238.411,1.2746,-0.0382235,249.266,1.15131,1.97431,-34.9906158447266,21.9994239807129,-35.0,22.0,1043200.0,-11290.6,pp-riro,4,0,-1,-1
1570540842.0,2019-10-08,15:20:42.000,14.0,9.0,14.5299997329712,16.1,1.5,4.5,29.2,-11.3,-40.0,14.2701,1.22545,4.36892,4.989269999999999,6.24325,4.50721,30.9405,4.28305,-44.3004,0.17249,0.243478,1.02774,250.5,5.5,52.1701,4.42718,-2.0,-2.20636,100.095,4.44285,69.4262,23.9414,238.111,1.27163,-0.0625356,249.179,1.27637,2.05227,-34.9923248291016,21.9994239807129,-35.0,22.0,1042590.0,-5076.14,pp-riro,4,0,-1,-1
1570540842.1,2019-10-08,15:20:42.100,14.0,9.0,14.3400001525879,16.6,2.6,4.9,29.9,-13.6,-34.8,15.4533,2.9491400000000003,5.36687,4.12306,8.74801,4.7535,32.7044,0.174226,-32.3085,0.1221829999999999,0.2323579999999999,1.06039,250.5,5.5,52.1701,4.42718,-2.0,-2.22021,96.2199,4.44286,69.5722,25.4614,237.811,1.2688,-0.0813053,249.084,1.39652,2.13188,-34.9940185546875,21.9994239807129,-35.0,22.0,1042070.0,-4860.79,pp-riro,4,0,-1,-1
1570540842.2,2019-10-08,15:20:42.200,14.0,9.0,14.2799997329712,17.1,3.8,5.4,30.5,-15.7,-29.2,15.4533,2.9491400000000003,5.36687,4.12306,8.74801,4.7535,32.7044,0.174226,-32.3085,0.1221829999999999,0.2323579999999999,1.06039,250.5,5.5,52.1701,4.42718,-2.0,-2.24791,93.8932,4.442880000000001,69.8934,27.3615,237.411,1.26459,-0.103623,248.99400000000003,1.52539,2.21613,-34.9940185546875,21.9994239807129,-35.0,22.0,1041330.0,-8583.29,pp-riro,4,0,-1,-1
1570540842.3,2019-10-08,15:20:42.300,14.0,9.0,14.4099998474121,17.5,5.0,5.7,31.0,-17.6,-23.8,16.0849,4.63298,5.98163,4.95581,12.7826,3.85452,33.1511,-3.37192,-23.7935,0.133349,0.0429864,0.993838,250.5,5.5,52.1701,4.42718,-2.0,-2.28891,100.705,4.44289,70.2731,28.8816,237.011,1.26058,-0.120446,248.891,1.6433,2.28879,-34.9940185546875,21.9994239807129,-35.0,22.0,1040260.0,-6060.6,pp-riro,4,0,-1,-1
1570540842.4,2019-10-08,15:20:42.400,14.0,9.0,14.5299997329712,17.9,6.2,6.3,31.4,-19.7,-18.6,16.698,6.34086,6.67249,5.239809999999999,12.9008,6.38604,33.3776,-6.46922,-15.022,0.114663,0.300239,1.0035,250.5,6.0,52.1701,4.42718,-2.0,-2.29058,107.869,4.4429,70.828,30.4016,236.511,1.25576,-0.135958,248.754,1.75693,2.3589900000000004,-34.9974365234375,21.9994239807129,-35.0,22.0,1039780.0,-3722.5,pp-riro,4,0,-1,-1
