time,date,time_of_day,airspeed_temperature,airspeed_angle_of_attack,airspeed_apparent_windspeed,load_cell_main_force,l_over_d,main_battery_current,main_battery_voltage,steering_motor_torque,depower_motor_torque,kcu_motor_current,kcu_mppt_current,kcu_io_current,steering_motor_abs_pos,depower_motor_abs_pos,kite_velocity_abs,kite_est_vx,kite_est_vy,kite_est_vz,kite_0_vx,kite_0_vy,kite_0_vz,kite_0_ax,kite_0_ay,kite_0_az,kite_0_roll,kite_0_pitch,kite_0_yaw,kite_0_roll_rate,kite_0_pitch_rate,kite_0_yaw_rate,kite_1_vx,kite_1_vy,kite_1_vz,kite_1_ax,kite_1_ay,kite_1_az,kite_1_roll,kite_1_pitch,kite_1_yaw,kite_1_roll_rate,kite_1_pitch_rate,kite_1_yaw_rate,kite_2_vx,kite_2_vy,kite_2_vz,kite_2_ax,kite_2_ay,kite_2_az,kite_2_roll,kite_2_pitch,kite_2_yaw,kite_2_roll_rate,kite_2_pitch_rate,kite_2_yaw_rate,kite_3_vx,kite_3_vy,kite_3_vz,kite_3_ax,kite_3_ay,kite_3_az,kite_3_roll,kite_3_pitch,kite_3_yaw,kite_3_roll_rate,kite_3_pitch_rate,kite_3_yaw_rate,kite_u_av_batt,ground_upwind_direction,ground_wind_velocity,ground_pos_latitude,ground_pos_longitude,ground_pos_altitude,ground_tether_reelout_speed,ground_tether_length,ground_tether_force,est_upwind_direction,est_wind_velocity,est_app_wind_kite,kite_pos_east,kite_pos_north,kite_height,kite_elevation,kite_azimuth,kite_distance,kite_heading,kite_course,kite_actual_steering,kite_actual_depower,kite_set_steering,kite_set_depower,ground_mech_energy,ground_mech_power,flight_phase,flight_phase_index,phase,pattern,pattern_section
unix time stamp,date,time,air temperature,Flow angle in the symmetry plane of the kite with respect to the front bridle,Air speed at Pitot tube,Not used,Estimated lift to drag ratio,Current drawn from battery,Voltage of battery,Torque generated by steering actuator,Torque generated by depower actuator,?,?,?,,,,,,,,,,Not used,Not used,Not used,,,,Not used,Not used,Not used,,,,,,,,,,,,,Not used	,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,dd-mm-yyyy,hh:mm:ss (UTC+2),°C,deg,m/s,,,A,V,Nm?,Nm?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
