time,date,time_of_day,airspeed_temperature,airspeed_angle_of_attack,airspeed_apparent_windspeed,kite_0_vx,kite_0_vy,kite_0_vz,kite_0_roll,kite_0_pitch,kite_0_yaw,kite_1_vx,kite_1_vy,kite_1_vz,kite_1_ax,kite_1_ay,kite_1_az,kite_1_roll,kite_1_pitch,kite_1_yaw,kite_1_roll_rate,kite_1_pitch_rate,kite_1_yaw_rate,ground_upwind_direction,ground_wind_velocity,ground_pos_latitude,ground_pos_longitude,ground_pos_altitude,ground_tether_reelout_speed,ground_tether_force,est_upwind_direction,kite_pos_east,kite_pos_north,kite_height,kite_elevation,kite_azimuth,kite_distance,kite_heading,kite_course,kite_actual_steering,kite_actual_depower,kite_set_steering,kite_set_depower,ground_mech_energy,ground_mech_power,flight_phase,flight_phase_index,phase,pattern,pattern_section
1570541087.8,2019-10-08,15:24:47.800,14.0,8.0,16.0400009155273,12.2,-5.1,1.2,18.0,0.9,-71.6,11.1606,-4.56999,1.82695,8.70913,9.30043,-1.02454,19.5095,14.4831,-74.572,0.1751599999999999,0.279564,0.944305,233.8,4.8,52.1701,4.427230000000001,-0.4,-2.36427,97.9417,4.32748,65.3374,0.760458,237.265,1.30206,0.373215,246.098,0.342779,1.22178,-34.1423492431641,22.0818138122559,-35.0,22.0,1219620.0,-922.935,pp-riro,4,0,-1,-1
1570541087.9,2019-10-08,15:24:47.900,14.0,5.0,15.869999885559098,13.2,-4.3,1.5,20.2,-0.4,-66.5,12.1348,-3.5652,2.01766,8.6837,9.00024,2.73153,22.1014,13.747,-68.6418,0.115089,0.0835398999999999,1.00657,233.8,4.8,52.1701,4.427230000000001,-0.4,-2.37203,92.9547,4.32734,64.8701,2.28051,237.165,1.30365,0.349906,245.887,0.460334,1.32823,-34.734588623046896,22.0431938171387,-35.0,22.0,1218910.0,-9167.82,pp-riro,4,0,-1,-1
1570541088.0,2019-10-08,15:24:48.000,14.0,5.0,15.640000343322802,14.2,-3.5,2.0,22.1,-1.9,-61.3,13.0051,-2.78104,2.45744,7.40533,8.24137,2.9264900000000003,24.4037,12.6435,-62.68600000000001,0.1132089999999999,0.203933,0.99967,233.8,4.8,52.1701,4.427230000000001,-0.4,-2.39807,106.841,4.32728,64.4319,3.4205400000000004,237.065,1.30506,0.33207,245.689,0.574918,1.42422,-34.965011596679695,22.017446517944304,-35.0,22.0,1218120.0,-1907.4,pp-riro,4,0,-1,-1
1570541088.1,2019-10-08,15:24:48.100,14.0,7.0,15.3000001907349,15.0,-2.5,2.3,23.6,-3.5,-56.1,13.4297,-2.43901,2.66446,8.2623,8.47583,3.63584,25.4187,11.9929,-59.5952,0.151163,0.230094,1.08664,233.8,4.8,52.1701,4.427230000000001,-0.4,-2.3803400000000003,96.0078,4.32717,64.0814,4.9406,236.965,1.30594,0.308273,245.526,0.69644,1.52523,-34.970123291015604,22.003026962280305,-35.0,22.0,1217920.0,-2953.39,pp-riro,4,0,-1,-1
1570541088.2,2019-10-08,15:24:48.200,14.0,8.0,14.9499998092651,15.8,-1.4,2.7,25.3,-5.2,-50.5,14.2413,-1.4266,3.05324,6.26804,11.6934,2.98113,27.3676,10.5061,-53.5148,0.0582006,0.150504,0.952434,233.8,4.8,52.1701,4.427230000000001,-0.4,-2.39142,89.7676,4.3270800000000005,63.8477,6.46065,236.865,1.3062200000000002,0.284466,245.404,0.825749,1.62729,-34.970123291015604,22.0009689331055,-35.0,22.0,1217560.0,-7229.65,pp-riro,4,0,-1,-1
1570541088.3,2019-10-08,15:24:48.300,14.0,8.0,14.6499996185303,16.7,-0.3,3.0,26.9,-7.3,-45.3,14.6273,-0.8761260000000001,3.17262,5.0008,10.6057,2.41798,28.3177,9.55978,-50.5396,0.0591965,0.171855,1.05731,233.8,4.8,52.1701,4.427230000000001,-0.4,-2.44406,88.0955,4.326980000000001,63.7601,7.9807,236.665,1.30567,0.260893,245.233,0.949548,1.72023,-34.9923248291016,22.0009689331055,-35.0,22.0,1216290.0,-13167.2,pp-riro,4,0,-1,-1
1570541088.4,2019-10-08,15:24:48.400,14.0,8.0,14.5299997329712,17.4,0.6,3.5,28.2,-9.0,-39.9,16.0987,1.07728,3.90496,4.92628,6.068219999999999,3.21366,31.3278,5.4324900000000005,-38.7101,0.322293,0.3386369999999999,1.02997,237.5,6.5,52.1701,4.427230000000001,-0.4,-2.50611,103.743,4.32687,63.7017,9.88077,236.465,1.30465,0.23158,245.094,1.08112,1.80419,-34.9957275390625,22.0009689331055,-35.0,22.0,1214960.0,-5014.61,pp-riro,4,0,-1,-1
1570541088.5,2019-10-08,15:24:48.500,14.0,8.0,14.4099998474121,18.2,1.7,4.0,29.2,-10.9,-34.6,16.409000000000002,1.62293,4.14666,5.14601,8.45973,4.777080000000001,31.9047,4.533580000000001,-35.6753,-0.00873794,0.205637,1.00078,237.5,6.5,52.1701,4.427230000000001,-0.4,-2.50224,103.463,4.3268,63.8185,11.4008,236.265,1.3030000000000002,0.208814,244.998,1.20511,1.88673,-34.9957275390625,22.0009689331055,-35.0,22.0,1214710.0,-4706.97,pp-riro,4,0,-1,-1
1570541088.6,2019-10-08,15:24:48.600,14.0,9.0,14.2799997329712,18.7,3.0,4.4,30.0,-13.1,-29.5,17.3556,3.21975,4.817159999999999,3.47191,11.3543,4.243,33.101,1.26154,-27.039,0.0506845,0.219276,1.01857,237.5,6.5,52.1701,4.427230000000001,-0.4,-2.49559,95.4281,4.32671,63.9937,13.3009,235.965,1.3005799999999998,0.180705,244.85,1.3320299999999998,1.97986,-34.9974365234375,22.0009689331055,-35.0,22.0,1214280.0,-5691.43,pp-riro,4,0,-1,-1
1570541088.7,2019-10-08,15:24:48.700,14.0,10.0,14.0900001525879,19.1,4.2,4.8,30.5,-14.9,-24.3,17.3556,3.21975,4.817159999999999,3.47191,11.3543,4.243,33.101,1.26154,-27.039,0.0506845,0.219276,1.01857,237.5,6.5,52.1701,4.427230000000001,-0.4,-2.5232900000000003,92.9605,4.32664,64.3442,15.201,235.565,1.2971700000000002,0.1537609999999999,244.667,1.45725,2.06348,-34.9974365234375,22.0009689331055,-35.0,22.0,1213400.0,-9844.64,pp-riro,4,0,-1,-1
