time,date,time_of_day,airspeed_temperature,airspeed_angle_of_attack,airspeed_apparent_windspeed,kite_0_vx,kite_0_vy,kite_0_vz,kite_0_roll,kite_0_pitch,kite_0_yaw,kite_1_vx,kite_1_vy,kite_1_vz,kite_1_ax,kite_1_ay,kite_1_az,kite_1_roll,kite_1_pitch,kite_1_yaw,kite_1_roll_rate,kite_1_pitch_rate,kite_1_yaw_rate,ground_upwind_direction,ground_wind_velocity,ground_pos_latitude,ground_pos_longitude,ground_pos_altitude,ground_tether_reelout_speed,ground_tether_force,est_upwind_direction,kite_pos_east,kite_pos_north,kite_height,kite_elevation,kite_azimuth,kite_distance,kite_heading,kite_course,kite_actual_steering,kite_actual_depower,kite_set_steering,kite_set_depower,ground_mech_energy,ground_mech_power,flight_phase,flight_phase_index,phase,pattern,pattern_section
1570540722.2,2019-10-08,15:18:42.200,15.0,8.0,15.7600002288818,10.1,-3.9,1.8,16.6,0.7,-75.0,8.988339999999999,-3.2772,2.0502700000000003,10.7318,6.40573,2.58716,17.4639,14.3594,-78.7004,0.106894,0.229136,0.850571,262.2,6.4,52.1701,4.427219999999999,7.0,-2.13488,117.114,4.40675,68.5794,7.220739999999999,240.496,1.29155,0.200737,250.187,0.378831,1.36193,-33.555206298828104,22.1430931091309,-35.0,22.0,911091.0,4399.32,pp-riro,4,0,-1,-1
1570540722.3,2019-10-08,15:18:42.300,15.0,8.0,15.5900001525879,11.3,-3.1,2.0,18.7,-0.7,-69.9,10.5262,-2.16236,2.55683,10.7379,10.015,3.1621,21.0554,13.2448,-69.7935,0.2430929999999999,0.112797,0.874483,262.2,6.4,52.1701,4.427219999999999,7.0,-2.0634,114.037,4.40684,68.2289,8.36078,240.296,1.29218,0.183619,249.93400000000003,0.490501,1.47732,-34.377883911132805,22.0900535583496,-35.0,22.0,911434.0,3784.03,pp-riro,4,0,-1,-1
1570540722.4,2019-10-08,15:18:42.400,15.0,8.0,15.4200000762939,12.4,-2.2,2.2,20.5,-1.8,-64.6,10.5262,-2.16236,2.55683,10.7379,10.015,3.1621,21.0554,13.2448,-69.7935,0.2430929999999999,0.112797,0.874483,251.2,5.6,52.1701,4.427219999999999,7.0,-1.98749,105.206,4.40693,67.9368,9.50082,240.196,1.29261,0.166514,249.799,0.605449,1.58355,-34.848953247070305,22.0498886108398,-35.0,22.0,911490.0,-1107.52,pp-riro,4,0,-1,-1
1570540722.5,2019-10-08,15:18:42.500,15.0,8.0,15.25,13.5,-1.4,2.5,22.5,-3.2,-59.3,11.5751,-1.22428,2.73948,10.1954,7.86267,2.94329,23.1199,12.1126,-64.0476,0.206556,0.199476,0.937246,251.2,5.6,52.1701,4.427219999999999,7.0,-1.96533,104.246,4.4069400000000005,67.7323,11.0209,239.996,1.29229,0.144155,249.614,0.7269680000000001,1.67691,-34.970123291015604,22.0210514068604,-35.0,22.0,911280.0,-1815.1,pp-riro,4,0,-1,-1
1570540722.6,2019-10-08,15:18:42.600,15.0,8.0,15.0100002288818,14.4,-0.4,3.0,24.3,-5.1,-54.3,12.569,-0.342738,3.0552900000000003,9.95991,7.834189999999999,2.06906,25.3036,10.8153,-58.1839,0.098356,0.234841,0.97511,251.2,5.6,52.1701,4.427219999999999,7.0,-1.94926,106.692,4.4069400000000005,67.5863,12.1609,239.796,1.29189,0.12742,249.435,0.8394209999999999,1.7715900000000002,-34.970123291015604,22.0050868988037,-35.0,22.0,911030.0,-1753.58,pp-riro,4,0,-1,-1
1570540722.7,2019-10-08,15:18:42.700,15.0,9.0,14.7700004577637,15.3,0.5,3.4,26.0,-6.8,-49.2,13.8844,1.01731,3.73677,6.883660000000001,9.31714,4.52691,28.1907,8.399519999999999,-49.1979,0.228719,0.187809,0.996107,251.2,5.6,52.1701,4.427219999999999,7.0,-1.92821,106.609,4.40695,67.5863,13.681,239.596,1.29056,0.105716,249.321,0.958365,1.85357,-34.970123291015604,22.0009689331055,-35.0,22.0,910942.0,-1261.34,pp-riro,4,0,-1,-1
1570540722.8,2019-10-08,15:18:42.800,15.0,9.0,14.5900001525879,16.1,1.7,3.8,27.5,-8.7,-44.1,14.6846,2.05742,4.18645,5.46067,9.9911,3.6639,29.8942,6.466480000000001,-43.5783,0.145637,0.1063099999999999,1.03235,251.2,5.6,52.1701,4.427219999999999,7.0,-1.91269,104.129,4.40696,67.7031,15.201,239.396,1.2886799999999998,0.0845705,249.249,1.07769,1.9459,-34.9957275390625,21.9994239807129,-35.0,22.0,910842.0,-1815.1,pp-riro,4,0,-1,-1
1570540722.9,2019-10-08,15:18:42.900,15.0,9.0,14.5900001525879,16.9,2.8,4.2,28.9,-10.7,-38.8,15.4103,3.11865,4.64174,5.41432,11.1652,5.41202,31.5375,4.25835,-37.899,0.0615089,0.137812,1.02374,251.2,5.6,52.1701,4.427219999999999,7.0,-1.90715,97.8125,4.40696,67.9367,17.1011,239.096,1.28577,0.0588278,249.148,1.20561,2.02898,-34.9957275390625,21.9994239807129,-35.0,22.0,910365.0,-4953.08,pp-riro,4,0,-1,-1
1570540723.0,2019-10-08,15:18:43.000,15.0,8.0,14.6499996185303,17.4,3.9,4.7,29.9,-12.5,-33.8,16.0702,4.1852800000000006,4.99451,6.05274,11.9045,5.66902,32.6397,2.10075,-32.5009,0.217192,0.135814,0.926739,251.2,5.6,52.1701,4.427219999999999,7.0,-1.92599,99.4336,4.406969999999999,68.2287,18.6212,238.796,1.28286,0.0389852,249.049,1.32106,2.10557,-34.9974365234375,21.9994239807129,-35.0,22.0,909815.0,-5137.67,pp-riro,4,0,-1,-1
1570540723.1,2019-10-08,15:18:43.100,15.0,8.0,14.6499996185303,17.9,5.1,5.2,30.7,-14.6,-28.7,16.3067,4.65688,5.26225,3.96222,9.73422,3.72355,33.1142,0.991671,-29.7379,0.176867,0.201835,1.0499,251.2,5.6,52.1701,4.427219999999999,7.0,-1.92987,100.167,4.40698,68.6376,20.5212,238.395,1.2788700000000002,0.0148916,248.927,1.44363,2.18597,-34.9974365234375,21.9994239807129,-35.0,22.0,909608.0,-3907.09,pp-riro,4,0,-1,-1
